,tsne,high_dim,sent,color
0,[61.37234  51.934357],"[-1.02049582e-01  2.44446248e-02 -5.83925238e-03 -3.23314667e-02
  2.51640808e-02 -4.55554128e-02  1.30581006e-01 -4.97206748e-02
 -4.52972250e-03 -4.54232730e-02 -4.78232093e-02  1.22429605e-03
  4.60167788e-02  1.99408438e-02  7.01103136e-02  5.66108786e-02
 -1.18950326e-02 -1.63144767e-02 -4.92033251e-02  1.86022557e-02
 -5.86557202e-02  1.13889202e-01 -1.94008630e-02 -1.17081832e-02
  3.49095128e-02  1.08111734e-02 -1.78624652e-02 -1.59104466e-02
  1.08130090e-03 -1.98158063e-02 -5.32532744e-02  2.44018435e-02
  4.52177599e-02 -5.86101087e-04 -4.52975743e-02 -3.09703480e-02
  1.46595603e-02 -5.17391823e-02  5.71355335e-02  5.15672527e-02
  6.62248582e-02 -3.41887958e-02  2.67116185e-02  1.00465603e-01
  5.08987382e-02 -9.54998583e-02 -2.21220683e-02 -8.26860741e-02
 -2.92005949e-03 -2.77894121e-02  3.13196667e-02 -1.02973497e-02
 -2.99778022e-03 -4.03562263e-02  2.35397872e-02 -9.07416549e-03
 -2.39583887e-02 -8.23587775e-02  1.51996845e-02  7.86735956e-03
 -1.45587036e-02  4.25782017e-02 -1.17715508e-01  1.28075972e-01
 -3.61680426e-02  5.12842014e-02  5.75166382e-02  5.08247688e-02
 -1.29432138e-02  9.86473709e-02  4.28945906e-02 -5.24026575e-03
 -3.84458080e-02 -2.82359626e-02  8.39229021e-03  3.96798886e-02
  5.65055907e-02  5.52534312e-02  4.04932722e-02  7.43628219e-02
  4.15107198e-02 -3.11274249e-02 -7.41058886e-02 -6.47289082e-02
  2.95492485e-02 -2.63883434e-02  7.66201541e-02  2.59311739e-02
 -2.70710625e-02  8.20913166e-02 -6.47673979e-02 -7.60188922e-02
  8.16904306e-02  2.67092604e-02 -4.74211611e-02 -4.02808487e-02
 -6.17004046e-03  8.58763456e-02 -7.53123462e-02  1.37261659e-01
  1.48377493e-02 -1.64038725e-02  3.99142876e-02  4.94459532e-02
  1.66747887e-02 -2.54117846e-02 -1.64270103e-02  3.84955890e-02
  9.28791892e-03 -1.90470945e-02 -7.72325322e-02 -5.97080104e-02
 -3.89727801e-02  3.10054421e-02 -1.26021067e-02  9.60780084e-02
 -9.87165980e-03  5.61027974e-02  2.37034019e-02 -3.53968628e-02
  2.73938645e-02  2.31666863e-02 -8.19595437e-03  5.37297837e-02
  2.86520142e-02 -4.66916561e-02  3.93131655e-03 -2.94811063e-33
 -2.16028430e-02  1.34460907e-02  3.66937891e-02 -1.67924468e-03
 -9.37773101e-03  3.25108133e-02 -1.60751604e-02 -1.95444431e-02
 -9.06815827e-02  2.05407292e-02  5.73730357e-02 -2.45113224e-02
  1.49675272e-02 -2.46691499e-02  4.19054329e-02  2.96521699e-03
 -3.82946692e-02 -1.30773000e-02 -1.86509918e-02  6.61207875e-03
  4.45937701e-02 -1.80140196e-04 -2.69825794e-02 -3.43997478e-02
 -8.48470107e-02 -3.24542373e-02  2.09262818e-02 -9.73627344e-02
  1.42659377e-02  4.31426018e-02 -3.83727662e-02 -4.37397650e-03
  1.29774855e-02 -4.01700959e-02 -2.67965589e-02 -1.14266649e-02
  2.16423888e-02 -6.76409677e-02 -5.34048341e-02  5.85603900e-02
 -4.26047631e-02 -1.68743171e-02 -2.11859923e-02  6.42639175e-02
 -8.45755357e-03  7.88206533e-02  5.21011241e-02  1.05459886e-02
 -7.89616480e-02 -1.55906919e-02 -2.46442854e-02  4.07985225e-03
 -7.14687183e-02  5.88577799e-02 -8.02232251e-02 -2.20577866e-02
 -5.86781767e-04 -5.23722135e-02  4.38256860e-02  5.70004173e-02
 -5.47866663e-03  4.22079153e-02 -8.16168934e-02  5.21067670e-03
 -5.31177409e-02 -1.11185024e-02 -3.26102972e-02  3.67888920e-02
  8.16795975e-02 -1.81485321e-02 -6.99268654e-02  2.19662953e-02
  8.53405446e-02 -3.70909236e-02 -3.21947299e-02  1.73762778e-03
 -5.57600707e-02  2.24811789e-02 -3.11433035e-03 -4.11884710e-02
  5.02778478e-02 -3.82688567e-02  7.68361054e-03 -1.03276335e-02
  6.95671961e-02 -1.62969213e-02 -2.57721301e-02  2.87448359e-03
  7.86922276e-02 -1.04347184e-01 -6.41408935e-02  3.24338488e-02
 -1.77129591e-03  1.75788184e-03 -2.42174137e-02 -1.35937757e-33
 -7.04817250e-02 -5.64148976e-03  4.37112562e-02  4.37916964e-02
 -5.54475375e-03  2.14543734e-02  3.91350053e-02  1.89566929e-02
 -2.32424419e-02  2.53385250e-02  2.07085032e-02 -7.27842525e-02
  3.99226137e-02  3.28384936e-02 -9.09108669e-03  2.60932595e-02
  3.57952416e-02  9.36097372e-03 -4.08910699e-02 -7.18588233e-02
  3.38991825e-03 -2.14326847e-03 -7.70110870e-03 -7.13932440e-02
 -1.47024067e-02  4.13327627e-02  2.73678117e-02  5.36227711e-02
 -7.73184597e-02 -8.74090183e-05  1.32062241e-01 -8.70853588e-02
 -9.98487175e-02 -4.74729687e-02  5.51841296e-02  7.61536211e-02
 -4.55253422e-02 -4.95967083e-02  4.46997434e-02 -8.48862156e-02
 -1.24898669e-03 -2.22454257e-02 -3.13809514e-02  1.15245543e-01
 -2.34127771e-02  1.66782383e-02  4.48334850e-02  1.68023873e-02
  3.15057710e-02  1.04703777e-01 -7.91647360e-02 -1.08245246e-01
  1.64125522e-03 -2.28700861e-02 -7.32276067e-02  8.99184346e-02
 -6.49862140e-02  9.39389244e-02  1.27314543e-02  3.56604420e-02
  3.33683286e-03 -1.89146511e-02 -3.12536582e-02  4.76450212e-02
  2.53698509e-02 -2.23655328e-02 -1.05971685e-02 -1.03415370e-01
  1.26779871e-02 -3.12780552e-02  1.23619385e-01 -5.25602400e-02
 -1.02211714e-01 -1.61849484e-02 -3.19806822e-02 -3.83212380e-02
  2.03144494e-02  1.42252604e-02 -7.55195320e-02 -9.35915709e-02
 -3.31090689e-02 -2.18158010e-02  1.58889443e-02 -1.04486812e-02
 -1.08877569e-02 -9.23570525e-03  1.11082457e-02 -7.90170357e-02
 -9.30651352e-02  6.69576451e-02  1.82728190e-02  8.88117626e-02
  1.57782346e-01 -5.01902066e-02  6.81207515e-03 -1.86127647e-08
 -1.82865262e-02  1.79764368e-02 -1.06402086e-02  1.89105291e-02
  2.29146751e-03  2.30928622e-02 -8.30385238e-02 -1.78723913e-02
  3.71633247e-02 -3.37228701e-02  1.11766197e-01  4.24951249e-05
 -2.97398400e-02  5.70143433e-03  1.14896238e-01  4.76944633e-02
 -3.04542948e-02 -9.12931748e-03 -4.32552733e-02  2.57214662e-02
  7.48256221e-02  7.57350773e-03 -3.00819403e-03 -9.94087458e-02
 -3.81419770e-02  3.41175161e-02 -5.09506799e-02  1.60191339e-02
  3.15994769e-02  1.80873722e-02  7.40650520e-02  5.12044579e-02
 -6.41773641e-02 -1.26239462e-02  7.74291251e-03 -7.90129006e-02
 -2.26359796e-02 -2.12465394e-02  6.24200515e-03 -5.92598096e-02
 -5.26563115e-02  7.52020851e-02  6.22333353e-03  3.21621075e-02
 -6.99219033e-02 -3.36344689e-02 -1.17740063e-02 -4.48025502e-02
 -3.12856212e-02 -7.65962675e-02 -3.14382873e-02 -1.89380329e-02
 -2.28320789e-02  1.26125440e-01  1.43415302e-01 -3.14148627e-02
  4.09439802e-02 -3.59489881e-02  9.61490795e-02 -2.97927093e-02
  1.28116190e-01  3.71044353e-02  2.27443203e-02 -4.08380926e-02]",I.,"[0.6, 0.6, 0, 1]"
1,[-21.937105  57.04252 ],"[-9.71928611e-03  1.19269021e-01 -7.46274665e-02 -3.18886503e-03
  2.28438992e-02  2.93717533e-02  2.97692530e-02  4.65098284e-02
 -5.46341669e-03 -2.71160883e-04  6.55349046e-02  2.37186197e-02
  7.39227189e-03 -7.14325011e-02 -8.93689841e-02  1.28201228e-02
 -6.05375133e-02 -9.20579582e-02 -3.41602564e-02  6.36371523e-02
 -4.68012393e-02 -6.85392693e-02  1.27242822e-02  2.64485087e-02
 -3.57002020e-02 -1.50794350e-02  3.43222357e-03  4.63982187e-02
 -1.14430990e-02 -7.34809563e-02 -2.61677266e-03  9.27353948e-02
  1.16001396e-03 -2.58620009e-02  2.40506791e-03 -1.52269639e-02
  4.59388830e-02 -3.38690020e-02  2.23029274e-02 -9.15043522e-03
  3.92196588e-02 -7.13104606e-02 -2.88594402e-02  1.92099400e-02
 -2.06265431e-02  4.45890911e-02  3.47896107e-02  6.09000772e-02
 -3.47867534e-02  3.82040031e-02 -9.91068128e-03 -2.68149972e-02
  3.19307558e-02 -2.07312219e-02 -2.18858235e-02 -6.60786405e-02
 -3.50316539e-02  6.16526082e-02  6.44946545e-02  5.56666628e-02
  4.24799100e-02  5.16555719e-02 -8.08309540e-02  8.05612952e-02
 -1.64633691e-02 -1.94465518e-02 -2.74790227e-02  2.14842726e-02
 -2.79833283e-02 -2.02168413e-02  8.55104104e-02 -1.35131538e-01
 -5.55337258e-02 -1.81940924e-02 -7.80109763e-02  1.20916031e-02
 -1.78672262e-02  1.92066208e-02  5.59880724e-03 -5.11587709e-02
  2.47315522e-02 -1.39879237e-03  1.46277575e-02  2.16972958e-02
  2.68191304e-02 -1.22785419e-02  4.94303741e-03 -5.69006056e-02
  9.03702974e-02 -1.77349094e-02 -1.89608522e-02 -3.40397321e-02
  4.64211516e-02  1.20053671e-01 -5.19182794e-02  4.35839519e-02
  2.30258089e-02  5.80607988e-02  2.75845956e-02  1.55517578e-01
  1.14926938e-02  1.03025787e-01 -5.43332053e-03 -4.36823741e-02
 -6.40012771e-02 -4.66655008e-02  6.48760572e-02  5.63676730e-02
 -9.18329582e-02 -5.10293059e-03 -6.01701476e-02 -8.54018889e-03
 -1.04992921e-02 -1.00430056e-01  1.02853574e-01 -1.06378156e-03
  8.79816189e-02 -3.03632673e-03 -8.92216116e-02 -2.48750765e-03
  6.94977939e-02  6.76995562e-03 -9.13476124e-02  2.46086977e-02
 -2.61984579e-03  3.04710418e-02 -1.66745503e-02 -6.21091248e-33
  5.60921766e-02 -3.06497682e-02 -9.53774005e-02  7.35500604e-02
  2.67797355e-02  5.83024919e-02 -3.89084145e-02 -5.82040986e-03
 -1.66447349e-02  2.26188209e-02  2.78647114e-02 -4.33348827e-02
 -7.92726874e-02 -1.45003632e-01  1.00965453e-02  7.09245577e-02
 -6.55029481e-03  2.34540328e-02 -3.39535438e-02  3.15376022e-03
  7.24170730e-02  9.63699073e-03  4.73080315e-02  3.94246570e-04
  9.63931438e-03  8.07532147e-02  1.26710022e-02 -4.76375185e-02
  6.86843321e-02  3.30320969e-02  3.10369749e-02  4.12426554e-02
  2.79521905e-02 -6.01642281e-02  4.23320308e-02  2.56811976e-02
 -5.65635338e-02 -5.21556064e-02 -1.50790699e-02  3.68882567e-02
  3.89687791e-02 -4.81950529e-02 -4.09814157e-02  3.85749787e-02
  5.36888689e-02  5.15253842e-02 -2.76968945e-02  9.27047152e-03
  2.84490492e-02 -1.23133712e-01  2.60831639e-02 -4.55370694e-02
 -2.50514168e-02  7.91595504e-02  8.23871698e-03  7.03652874e-02
 -3.51839773e-02  8.54497850e-02  2.52801869e-02  3.52856293e-02
  7.83712938e-02  4.90167625e-02 -5.93606830e-02  5.56467324e-02
 -8.62133205e-02 -7.14890361e-02  1.18919346e-03  5.52082472e-02
 -6.76819235e-02 -9.35254991e-02 -2.35474221e-02 -2.57120859e-02
  3.16128577e-03  3.50787938e-02 -5.65164462e-02  5.97500987e-02
 -4.19480875e-02 -4.50353213e-02 -1.66741200e-02 -1.51992217e-02
 -5.21652736e-02 -6.41514510e-02  5.19578420e-02  2.25032661e-02
 -2.45827362e-02 -4.57420218e-04  3.85471955e-02 -2.11994573e-02
 -5.25198877e-02  1.44909497e-03 -3.70061696e-02  6.87658563e-02
  8.82859007e-02 -4.75288928e-02 -3.66805233e-02  2.76757729e-33
 -4.73470651e-02  1.87111758e-02  1.93178318e-02 -8.76199268e-03
  3.92774232e-02  6.45922078e-03 -4.21633273e-02 -2.38146354e-03
 -5.44074327e-02  4.43774648e-02 -7.60756955e-02 -1.10460490e-01
  3.99609171e-02  1.99956261e-02  2.73181070e-02  3.67454477e-02
  1.21839292e-01  5.61697269e-03 -2.56138500e-02 -4.39043017e-03
 -3.59563529e-02  1.98145341e-02  3.39961797e-03  9.60099418e-03
 -3.89873683e-02  9.14441869e-02  2.63187531e-02 -1.23851486e-02
 -5.07983603e-02  8.30780864e-02 -2.16068253e-02  6.91410899e-02
 -2.40881871e-02  4.73171938e-04 -5.51473117e-03  8.55353251e-02
  2.93658841e-02 -6.66827708e-02  2.70036142e-02 -3.84091362e-02
 -1.30859809e-02 -5.39233610e-02 -2.68998817e-02  9.90942791e-02
  5.48042059e-02 -1.73672773e-02 -6.18881509e-02  8.90903454e-03
  3.63339484e-02 -4.86873277e-02 -3.53889493e-03  3.53247151e-02
 -2.95887794e-02  5.59652783e-02 -2.25706003e-03 -3.52230631e-02
 -9.51881856e-02 -3.68792843e-03  2.12273124e-04  1.67030022e-02
 -1.56070748e-02  9.23569780e-03 -1.40711322e-01  4.14025038e-02
  2.88506914e-02 -6.54252898e-03 -3.39670735e-03 -1.95667986e-02
  1.90001335e-02  4.57166247e-02  7.59190843e-02  1.00952275e-02
 -1.21401578e-01  2.80301776e-02 -3.09018102e-02  6.82483688e-02
 -2.46671569e-02  9.51100793e-03 -3.60063799e-02 -2.79974588e-03
 -5.53686880e-02 -5.48637994e-02  4.43252511e-02 -1.99673027e-02
  4.39956188e-02 -4.08740565e-02  4.26452681e-02 -7.63867497e-02
 -2.30455324e-02 -4.33032401e-04  9.60964337e-03 -5.42489551e-02
  8.66350310e-04 -2.04934683e-02  7.23110884e-02 -1.49452966e-08
  7.89292157e-02 -4.60140668e-02 -9.05338582e-03 -2.90554482e-03
  6.98510036e-02 -9.45642442e-02 -1.13599420e-01  1.24140875e-02
 -1.77148660e-03  8.43772739e-02 -8.95752683e-02  5.73856495e-02
  5.27602397e-02 -2.18345714e-03  6.18043169e-02 -1.38139082e-02
  2.02777162e-02 -7.27613717e-02 -4.41038162e-02  2.94694752e-02
  8.50122795e-02  3.25560123e-02  5.10434911e-04 -8.92673507e-02
  1.10297871e-03 -6.60541132e-02 -6.31162003e-02  4.20368649e-02
  4.17808630e-03 -1.45962089e-02  4.98977304e-02  8.34901445e-03
  1.69550516e-02 -6.84470236e-02 -1.07052075e-02  1.25977248e-01
  4.31532785e-02 -9.15752053e-02  1.13335075e-02 -1.58267274e-01
 -2.04454493e-02  1.23021826e-02  2.55873203e-02  2.58956272e-02
 -2.93536461e-03 -6.85744435e-02 -4.21031564e-02  1.15732746e-02
  2.67621540e-02 -5.45061938e-02 -2.07228656e-03  1.57334339e-02
  5.13166040e-02  4.37873676e-02  6.24244995e-02 -5.04591912e-02
 -1.09373108e-02  8.07964504e-02 -3.92971784e-02 -4.52709906e-02
 -5.82864089e-03 -1.16322627e-02 -4.30588983e-02 -7.67251775e-02]",A SCANDAL IN BOHEMIA   I.,"[0.6, 0.6, 0, 1]"
2,[-22.495378   8.40323 ],"[ 1.54830310e-02 -1.28336307e-02 -1.99095570e-02  7.43346363e-02
 -5.84140643e-02  5.07238088e-03  3.37412134e-02 -5.05215004e-02
 -5.75884804e-02 -6.32769689e-02  1.47433095e-02 -2.69312561e-02
 -7.81299174e-03  4.39301273e-03 -6.72928989e-02  6.08279184e-02
  5.99137843e-02  7.20633706e-03  5.88518381e-02  3.77922580e-02
 -7.84616470e-02 -3.72428522e-02  5.64807542e-02 -5.42810187e-02
 -7.46843144e-02 -3.05815488e-02  3.22124213e-02 -2.45782733e-02
 -5.25691509e-02  6.04158733e-03 -8.29928890e-02  1.69434343e-02
 -6.50313720e-02  1.92468166e-02 -1.70898642e-02 -1.05652716e-02
  1.73398387e-02  9.73483026e-02  1.04517631e-01  3.61384489e-02
 -6.18722551e-02 -1.14041895e-01 -3.66504304e-02  3.08394874e-03
 -5.92842847e-02 -3.44400518e-02  7.73279145e-02 -6.69914298e-03
 -2.26970967e-02 -1.45461550e-02 -1.83690842e-02  4.49948274e-02
 -8.10029209e-02  5.54979146e-02  4.57090475e-02 -5.40314503e-02
 -5.07274596e-03  1.15281390e-02  1.16231963e-02  1.70493789e-03
  1.19057298e-02  1.28421769e-01 -6.66892901e-03  1.01578534e-01
  3.37694250e-02 -3.32912779e-03 -2.12286115e-02  1.13326581e-02
 -1.70623250e-02  3.53536196e-02  2.56316606e-02  4.98457365e-02
  5.41889016e-03  2.53736414e-02  3.08950022e-02  3.76229621e-02
  7.74277598e-02 -3.49912792e-02  8.19649398e-02  5.14212362e-02
 -9.82273594e-02 -1.13304414e-01  2.27020830e-02  1.15405746e-01
  4.72290739e-02 -7.38859642e-03  9.42103192e-03 -1.70259457e-02
 -4.11451496e-02  4.60612029e-03 -8.88427719e-02 -8.25608298e-02
  2.08832212e-02  4.01919559e-02 -2.59869862e-02 -1.10332901e-02
 -9.46452916e-02  2.76161116e-02 -3.12367342e-02  3.95598263e-02
  3.67285626e-04  9.27083865e-02 -3.32620926e-03  3.16792205e-02
 -2.11246815e-02 -3.37540582e-02  1.07183475e-02  1.06118973e-02
  4.43474986e-02 -2.48263776e-03  5.69582544e-02 -7.11056516e-02
  2.73443609e-02 -2.01231856e-02  3.36895920e-02  5.75383054e-03
 -3.35361585e-02  2.26993114e-04 -7.79426796e-03 -4.05412652e-02
 -8.32915679e-03  7.79204369e-02 -8.22791010e-02  3.60053629e-02
  1.10109355e-02 -2.96790805e-02  2.38477066e-02 -5.33146638e-33
 -5.03767505e-02  8.28266144e-03  6.25612736e-02 -1.69542637e-02
 -8.79725665e-02  5.26150949e-02  3.06432135e-02  8.33479166e-02
  4.33088914e-02  3.18117328e-02  3.28552090e-02 -1.97755471e-02
 -1.17037781e-01 -1.09003708e-01 -2.12579826e-03  1.25728577e-01
  6.43258449e-03  4.30083275e-02 -3.56223546e-02  4.81412821e-02
  4.69195843e-02  7.99967349e-02 -2.45363191e-02  5.46262506e-03
 -4.17629182e-02  3.11015779e-03  1.01901159e-01  5.73322587e-02
 -6.24853782e-02  5.85546046e-02 -4.58521023e-02 -9.60204564e-03
  1.44814211e-03 -1.19388271e-02  1.28046637e-02 -3.78011204e-02
 -3.73058580e-02 -2.21733991e-02  2.98908167e-03  5.11693582e-02
 -7.19305649e-02 -3.81389335e-02  9.08240229e-02 -2.40562409e-02
 -6.04626238e-02 -6.14152197e-03 -1.12819858e-01  5.46743236e-02
 -3.17401811e-02  4.07525934e-02 -6.27375618e-02 -1.85508409e-03
  6.45697117e-02  1.02420643e-01 -2.70780758e-03 -1.84387174e-02
  6.73956200e-02  3.51006091e-02  4.14156057e-02  1.11868996e-02
  4.75655049e-02  3.35221132e-03 -3.38964276e-02  1.01394176e-01
  1.05395438e-02  3.45016047e-02  9.04024672e-03 -2.75652166e-02
 -1.11162886e-01  1.09699413e-01 -8.96147937e-02  4.41268608e-02
  2.50800569e-02  6.62910938e-02 -8.08645114e-02 -7.43283611e-03
  3.15899402e-02 -9.38800648e-02 -1.08553553e-02 -4.93268529e-03
 -2.91470382e-02  7.76716098e-02 -2.70361081e-02 -4.35835384e-02
  1.72896311e-02 -3.78529192e-03 -1.30266063e-02 -1.07030302e-01
  1.65460892e-02  6.79872781e-02  7.84503743e-02 -2.54135113e-02
  3.82694751e-02 -5.20449020e-02 -6.62614629e-02  2.09759932e-33
 -2.50783786e-02 -7.07633793e-02 -4.43853624e-02 -4.65042405e-02
  6.67577516e-03 -3.50574148e-03 -3.75491828e-02  6.91757649e-02
 -2.85939109e-02  1.49755422e-02 -9.92634427e-03 -1.02602668e-01
 -4.97158021e-02  2.38467939e-02  4.11362499e-02 -1.19776223e-02
  3.28208283e-02 -9.75846723e-02 -3.55589017e-02  1.82667817e-03
 -5.80674149e-02  4.38230932e-02 -2.34858468e-02 -3.18822786e-02
  3.76100801e-02 -1.09350327e-02  5.99985979e-02  4.90885787e-02
 -2.69523300e-02  2.78154612e-02 -5.68142235e-02 -1.59018636e-02
 -9.70947370e-02 -7.39776269e-02 -4.34784144e-02  3.19705606e-02
  1.41590526e-02 -3.82561795e-02  9.86747369e-02  3.71959955e-02
 -2.85282359e-02 -2.35429834e-04 -4.02553678e-02  1.44999605e-02
  3.65501679e-02  6.58136755e-02 -1.46383289e-02  2.73471791e-02
  8.51326585e-02 -1.12964688e-02 -5.83562367e-02 -3.17091644e-02
 -6.54394692e-03 -2.94998437e-02  1.13965673e-02  5.22110574e-02
 -2.08271910e-02 -2.68849917e-02  1.68441683e-02 -5.52869290e-02
 -8.37016776e-02 -1.87600253e-03 -5.90811558e-02  7.76667297e-02
 -5.79721108e-02  1.96815748e-02 -9.62855667e-02  3.83555405e-02
 -6.49505556e-02 -1.06464708e-02  1.54859666e-02 -5.46296537e-02
